"Module 4, Module 5",Question Text,Question,Hint 1,Hint 2
1,What is the {quantumName} quantum number?,QN1,AN,RN
2,What is the {quantumName} quantum number?,QN1,AN,RN
3,What is the {quantumName} quantum number?,QN1,AN,RN
4,What is the {quantumName} quantum number?,QN1,AN,RN
5,What is the {quantumName} quantum number?,QN1,AN,RN
6,What is the {quantumName} quantum number and the {quantumName1} quantum number?,QN2,AN,RN
7,What is the {quantumName} quantum number and the {quantumName1} quantum number?,QN2,AN,RN
8,What is the {quantumName} quantum number and the {quantumName1} quantum number?,QN2,AN,RN
9,What is the {quantumName} quantum number and the {quantumName1} quantum number?,QN2,AN,RN
10,What is the {quantumName} quantum number and the {quantumName1} quantum number?,QN2,AN,RN